,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
2551,Buterin2014,article,"Buterin, Vitalik",10.5663/aps.v1i1.10138,Etherum,1--36,{A next-generation smart contract and decentralized application platform},,2014,,http://buyxpr.com/build/pdfs/EthereumWhitePaper.pdf,,January,,,,,,,0,mendeley
2552,Lane2016,unpublished,"Lane, Morton N. and Kreuser, Jerome",,,,{USING STOCHASTIC OPTIMIZATION TO UNDERWRITE A PORTFOLIO OF INSURANCE LINKED SECURITIES},,2016,,,,,,,,,,,0,mendeley
2553,Chen2012a,article,"Chen, Zisheng and Feng, Liming and Lin, Xiong",,ACM Transactions on Modeling and Computer …,1--33,{Simulating Lévy processes from their characteristic functions and financial applications},,2012,,http://dl.acm.org/citation.cfm?id=2331142,,,,,,,,,0,mendeley
2554,Letac2004,article,"Letac, Gérard",,,1--15,{The Rovinj summer school on natural exponential families},,2004,,http://www.math.univ-toulouse.fr/$\sim$letac/miscellaneousRovinj.pdf,,,EDM-GLM,,,,,,0,mendeley
2555,OECD2012,techreport,OECD,,,,{Global Insurance Market Trends},,2012,,,,,,,,,,,0,mendeley
2556,Major1995,article,"Major, John A. and Mangano, John J.",,Journal of intelligent information systems,39--52,{Selecting among rules induced from a hurricane database},4,1995,Springer,,,,Major,,,,,,0,mendeley
2557,Landsman1999,article,"Landsman, Zinoviy M. and Makov, Udi E.",10.1016/S0167-6687(98)00035-3,Insurance: Mathematics and Economics,23--29,{Credibility evaluation for the exponential dispersion family},24,1999,,,,1-2,,,,,,,0,mendeley
2558,McCullagh2002,misc,"McCullagh, Peter",10.1214/aos/1035844977,,1225--1267,{What is a statistical model?},30,2002,,,,5,,Annals of Statistics,,,,,0,mendeley
2559,Bertoin2002,article,"Bertoin, Jean and Yor, Marc",,Sciences-New York,33--45,{On the entire moments of self-similar Markov processes and exponential functionals of Levy Processes},XI,2002,,,,2,,,,,,,0,mendeley
2560,Stein2011,book,"Stein, Elias M. and Shakarchi, Rami",,,,{Functional Analysis: Introduction to Further Topics in Analysis},,2011,Princeton University Press,,,,Book,,,,Princeton,,0,mendeley
2561,Feller1971,book,"Feller, William",,,669,"{An Introduction to Probability Theory and its Applications, Volume 2}",,1971,J. Wiley and Sons,,,,Prob,,Second,,,,0,mendeley
2562,Lewis1992,article,"Lewis, David",,Studies in inductive logic and probability,263--293,{A subjectivist's guide to objective chance BT - Studies in inductive logic and probability},,1992,,,,13,,,,,,,0,mendeley
2563,BarLev1991,article,"Bar-Lev, Shaul K. and Bshouty, Daoud and Enis, Peter",10.1214/aop/1176990348,The Annals of Probability,1349--1366,{Variance Functions with Meromorphic Means},19,1991,,,,3,EDM-GLM,,,,,,0,mendeley
2564,Engsner2023,article,"Engsner, Hampus and Lindskog, Filip and Thøgersen, Julie",10.1016/j.insmatheco.2023.02.007,Insurance: Mathematics and Economics,41--56,{Multiple-prior valuation of cash flows subject to capital requirements},111,2023,,,,,,,,,,,0,mendeley
2565,Pesce2015,techreport,"Pesce, Mark",,,,{Risks and opportunities in a connected world},,2015,,,,,,,,,,,0,mendeley
2566,Rockafellar2006,article,"Rockafellar, R. Tyrrell and Uryasev, Stanislav and Zabarankin, Michael",10.1007/s00780-005-0165-8,Finance and Stochastics,51--74,{Generalized deviations in risk analysis},10,2006,,,,1,"Book,Rockafellar",,,,,,743,mendeley
2567,Chateauneuf1996a,article,"Chateauneuf, Alain and Kast, Robert and Lapied, Andre",10.1111/j.1467-9965.1996.tb00119.x,Mathematical Finance,323--330,{Choquet pricing for financial markets with frictions},6,1996,,,,3,PIR,,,,,,0,mendeley
2568,Hansen2011,article,"Hansen, By Peter R. and Lunde, Asger and Nason, James M.",10.3982/ecta5771,Econometrica,453--497,{The Model Confidence Set},79,2011,,,,2,,,,,,,0,mendeley
2569,Smith2011,techreport,"Smith, Bradley M.",,,,{Article from: The Actuary},,2011,,www.soa.org/,,,,,,,,,0,mendeley
2570,Weber2013,article,"Weber, Stefan and Anderson, W. and Hamm, A. M. and Knispel, Thomas and Liese, M. and Salfeld, T.",10.1007/s11579-012-0092-3,Mathematics and Financial Economics,69--91,{Liquidity-adjusted risk measures},7,2013,,,,1,,,,,,,0,mendeley
2571,Taddy2012,article,"Taddy, Matthew A.",,,,{Multinomial Inverse Regression for Text Analysis},,2012,,,,,,,,,,,0,mendeley
2572,Taleb2015a,techreport,"Taleb, Nassim Nicholas",,,,{Genealogy of the INCERTO},,2015,,,,,Tails,,,,,,0,mendeley
2573,Rosch2014,article,"Rösch, Daniel and Scheule, Harald",10.1111/j.1539-6975.2013.12009.x,Journal of Risk and Insurance,563--586,{Forecasting Mortgage Securitization Risk Under Systematic Risk and Parameter Uncertainty},81,2014,,http://doi.wiley.com/10.1111/j.1539-6975.2013.12009.x,,3,,,,,,,0,mendeley
2574,Bellini2013,article,"Bellini, Fabio and Bignozzi, Valeria",10.2139/ssrn.2334746,Available at SSRN 2334746,1--18,{Elicitable risk measures},,2013,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2334746,,June,,,,,,,0,mendeley
2575,Chen2004,article,"Chen, Louis HY and Shao, Qi-Man",10.1214/009117904000000450,The Annals of Applied Probability,1985--2028,{Normal approximation under local dependence},32,2004,,,,3,,,,,,,0,mendeley
2576,Shanker2010,article,"Shanker, Joshua and Sebaski, Charles",,,1--24,{The Double Bind The Disappearing Sources of P & C Insurance Earnings},,2010,,,,November,,,,,,,0,mendeley
2577,Wang2011,article,"Wang, Bin and Wang, Ruodu",10.1016/j.jmva.2011.05.002,Journal of Multivariate Analysis,1344--1360,{The complete mixability and convex minimization problems with monotone marginal densities},102,2011,Elsevier Inc.,http://dx.doi.org/10.1016/j.jmva.2011.05.002,,10,WangR,,,,,,0,mendeley
2578,ZhanYYYYa,article,"Zhang, Yitang",,,1--56,{Bounded gaps between primes},,,,,,,,,,,,,0,mendeley
2579,Venter2004a,article,"Venter, Gary G.",,North American Actuarial Journal,96--107,{Capital allocation survey with commentary},,2004,,http://www.tandfonline.com/doi/abs/10.1080/10920277.2004.10596139,,,"CMM,PIR,Risk Measures,Venter",,,,,,0,mendeley
2580,Zweifel1999,misc,"Zweifel, Peter and Felder, Stefan and Meiers, Markus",10.1002/(SICI)1099-1050(199909)8:6<485::AID-HEC461>3.0.CO;2-4,,,{Ageing of population and health care expenditure: A red herring?},,1999,,,,,,Health Economics,,,,,0,mendeley
2581,Tao2009,article,"Tao, Terence and Vu, Van",10.1090/S0273-0979-09-01252-X,Bulletin of the American Mathematical Society,377--396,{From the littlewood-offord problem to the circular law: Universality of the spectral distribution of random matrices},46,2009,,,,3,,,,,,,0,mendeley
2582,Diestel1976,article,"Diestel, J. and {Uhl Jr}, J. J.",10.1216/RMJ-1976-6-1-1,Rocky Mountain J. Math.,1--46,{The Radon-Nikodym theorem for Banach space valued measures},6,1976,,,,1,Stochastic Processes,,,,,,0,mendeley
2583,Dimitrakakis2013a,article,"Dimitrakakis, Christos and Nelson, Blaine and Zhang, and Zuhe and Mitrokotsa, Aikaterini and Rubinstein, Benjamin I. P.",,,1--38,{Bayesian Differential Privacy through Posterior Sampling},16,2013,,http://arxiv.org/abs/1306.1066,,,,,,,,,0,mendeley
2584,Mildenhall2018c,article,"Mildenhall, Stephen J.",,,,{In the tranches—investor view},,2018,,,,,Mildenhall,,,,,,0,mendeley
2585,Mitchell2015,misc,"Mitchell, Ryan",10.1017/CBO9781107415324.004,,,{Web Scraping with Python - Collecting Data from the Modern Web},,2015,,,,,Book,O'Reilly,,,,,0,mendeley
2586,Cheung2019,article,"Cheung, Ka Chun and Yam, Sheung Chi Phillip and Zhang, Yiying",10.1016/j.insmatheco.2019.02.006,Insurance: Mathematics and Economics,64--72,{Risk-adjusted Bowley reinsurance under distorted probabilities},86,2019,Elsevier B.V.,https://doi.org/10.1016/j.insmatheco.2019.02.006,,,Risk Sharing,,,,,,0,mendeley
2587,Tang2013,article,"Tang, Yichuan",,,,{Deep Learning using Linear Support Vector Machines},,2013,,http://arxiv.org/abs/1306.0239,,,,,,,,,0,mendeley
2588,AonRiskSolutionYYYY,article,{Aon Risk Solutions},,,,{Cyber risk and the captive market - a match made in the cloud?},,,,,,,Aon,,,,,,0,mendeley
2589,Zhu2018,article,"Zhu, Wenhao and Shao, Hui",10.2139/ssrn.3103458,SSRN Electronic Journal,,{Closed-Form Solutions for Extreme-Case Distortion Risk Measures and Applications to Robust Portfolio Management},,2018,,,,5,,,,,,,0,mendeley
2590,Bollerslev2011a,article,"Bollerslev, Tim and Todorov, Viktor",10.2139/ssrn.1418488,The Journal of Finance,,"{Tails, fears, and risk premia}",,2011,,http://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2011.01695.x/full http://www.ssrn.com/abstract=1418488,,,,,,,,,0,mendeley
2591,Hougaard2000,book,"Hougaard, Philip",10.1086/648138,,,{Analysis of Multivariate Survival Data},,2000,Springer,,,,"Book,EDM-GLM",,,,New York,,0,mendeley
2592,Musulin2013,article,"Musulin, Rade",,,84--85,{Climate change adaptation and the insurance system},,2013,,,,June,,,,,,,0,mendeley
2593,Davies2021,article,"Davies, Alex and Veličković, Petar and Buesing, Lars and Blackwell, Sam and Zheng, Daniel and Tomašev, Nenad and Tanburn, Richard and Battaglia, Peter and Blundell, Charles and Juhász, András and Lackenby, Marc and Williamson, Geordie and Hassabis, Demis and Kohli, Pushmeet",10.1038/s41586-021-04086-x,Nature,70--74,{Advancing mathematics by guiding human intuition with AI},600,2021,,,,7887,,,,,,,0,mendeley
2594,Barges2011,article,"Bargès, Mathieu and Loisel, Stéphane and Cossette, Hélène and Marceau, Étienne",10.2143/AST.41.1.2084392,ASTIN Bulletin,215--238,{On the moments of aggregate discounted claims with dependence introduced by a fgm copula},41,2011,,,,1,,,,,,,0,mendeley
2595,Bivens2015,techreport,"Bivens, Josh and Mishel, Lawrence",,,,{Understanding The Historic Divergence Between Productivity And A Typical Worker's Pay: Why It Matters And Why It's Real},,2015,,,EPI,,,,,,,,0,mendeley
2596,Puccetti2013a,article,"Puccetti, Giovanni",10.1016/j.spl.2013.01.022,Statistics and Probability Letters,1227--1232,{Sharp bounds on the expected shortfall for a sum of dependent random variables},83,2013,,,,4,,,,,,,0,mendeley
2597,Marsh2013,article,"Marsh, Charles",,,,{Introduction to Continuous Entropy},,2013,,,,,,,,,,,0,mendeley
2598,Gollier1997,article,"Gollier, Christian and Kimball, Miles S.",,,,{New Methods in the Classical Economics of Uncertainty: Comparing Risks},,1997,,,,,Gollier,,,,,,0,mendeley
2599,ExecutiveOfficeofthePresident2016,article,{Executive Office of the President},,,,"{Big Data: A Report on Algorithmic Systems, Opportunity, and Civil Rights}",,2016,,,,May,,,,,,,0,mendeley
2600,Press1992a,book,"Press, William H. and Teukolsky, Saul A. and Vetterling, William T. and Flannery, Brian P.",,,,"{Numerical Recipies in C, The Art of Scientific Computing}",,1992,Cambridge University Press,,,,,,Second,,,,0,mendeley
2601,Aouani2008,article,"Aouani, Zaier and Chateauneuf, Alain",10.1016/j.mathsocsci.2008.01.006,Mathematical social sciences,185--194,{Exact capacities and star-shaped distorted probabilities},56,2008,,,,2,,,,,,,0,mendeley
2602,CapgeminiandEfma2015,article,Capgemini and Efma,,World Insurance Report,48,{World insurance report 2015},,2015,,,,,,,,,,,0,mendeley
2603,AmericanAcademyofActuaries2014,article,{American Academy of Actuaries},,,,{Qualification Standards},,2014,,,,,,,,,,,0,mendeley
2604,Colombier2012,article,"Colombier, Carsten",,,,{Drivers of health care expenditures: does Baumol's cost disease loom large?},,2012,,,,,,,,,,,0,mendeley
2605,Clark2004,article,"Clark, David R. and Thayer, Charles A.",,Casualty Actuarial Society Spring Forum,117--148,{A primer on the exponential family of distributions},,2004,,papers2://publication/uuid/C7FF0B8F-F767-4F09-9714-F0D3711A30D8,,,,,,,,,0,mendeley
2606,NationalAssocationofInsuranceCommissioners2012,book,{National Assocation of Insurance Commissioners},,,,{Statistical Handbook of Data Available to Insurance Regulators},,2012,,,,,,,,,,,0,mendeley
2607,Keuschnigg2012,article,"Keuschnigg, Christian and Devereux, Michael P.",10.1016/j.jinteco.2012.08.007,Journal of International Economics,,{The arm's length principle and distortions to multinational firm organization},,2012,,http://linkinghub.elsevier.com/retrieve/pii/S0022199612001523,,,,,,sep,,,0,mendeley
2608,Jørgensen1997,book,"Jørgensen, Bent",,,,{The Theory of Dispersion Models},,1997,Chapman and Hall,,,,EDM-GLM,,,,,,0,mendeley
2609,Sanchez2018,techreport,"Sanchez, Maxwell and Fisher, Justin",,,1--22,"{Proof-of-Proof: A Decentralized, Trustless, Transparent, and Scalable Means of Inheriting Proof-of-Work Security}",,2018,,,"VeriBlock, Inc.",,,,,,,,0,mendeley
2610,Liu2024,article,"Liu, Peng and Mao, Tiantian and Wang, Ruodu",,,1--42,{Quantiles under ambiguity and risk sharing},,2024,,http://arxiv.org/abs/2412.19546,,,"PMIR,WangR",,,,,,0,mendeley
2611,Kallenberg2001,book,"Kallenberg, Olav",,,,{Foundations of Modern Probability},,2001,Springer Verlag,,,,,,Second,,,,0,mendeley
2612,Bacaer2011,article,"Bacaër, Nicolas",10.1007/978-0-85729-115-8,A Short History of Mathematical Population Dynamics,1--160,{A short history of mathematical population dynamics chapter 2: Halley's Life Table},,2011,,,,1693,,,,,,,0,mendeley
2613,Weiss1985,article,"Weiss, Mary",10.2307/252512,The Journal of Risk and Insurance,199,{A Multivariate Analysis of Loss Reserving Estimates in Property-Liability Insurers},52,1985,,,,2,,,,,,,0,mendeley
2614,Version2019,article,"Version, Old",,,,{S & P Criteria Comparison},,2019,,,,July,,,,,,,0,mendeley
2615,Ebert2018,article,"Ebert, Sebastian and Nocetti, Diego C. and Schlesinger, Harris",10.1287/mnsc.2017.2746,Management Science,2809--2811,{Greater mutual aggravation},64,2018,,,,6,,,,,,,0,mendeley
2616,Caramello2010,article,"Caramello, Olivia",,,1--42,{The unification of Mathematics via Topos Theory},,2010,,,,,,,,,,,0,mendeley
2617,Leonardis2019,inproceedings,"Leonardis, Antonino and D'Atri, Gianfranco and Caldarola, Fabio",,,67,{A geometrical proof for generalized Goodstein's theorem},,2019,,,,November,,Numerical Computations: Theory and Algorithms NUMTA 2019,,,,,0,mendeley
2618,Kluppelberg2004,article,"Klüppelberg, Claudia and Kyprianou, Andreas E. and Maller, Ross a",10.1214/105051604000000927,The Annals of Applied Probability,1766--1801,{Ruin probabilities and overshoots for general Levy insurance risk processes},14,2004,,http://projecteuclid.org/Dienst/getRecord?id=euclid.aoap/1099674077/,,4,,,,nov,,,0,mendeley
2619,Wang2020,article,"Wang, Ruodu and Wei, Yunran",10.1016/j.insmatheco.2020.06.001,Insurance: Mathematics and Economics,288--300,{Characterizing optimal allocations in quantile-based risk sharing},93,2020,Elsevier B.V.,https://doi.org/10.1016/j.insmatheco.2020.06.001,,,"Risk Sharing,WangR",,,,,,0,mendeley
2620,ChavezDemoulin2016,article,"Chavez-Demoulin, Valérie and Embrechts, Paul and Hofert, Marius",10.1111/jori.12059,Journal of Risk and Insurance,735--776,{An Extreme Value Approach for Modeling Operational Risk Losses Depending on Covariates},83,2016,,,,3,,,,,,,0,mendeley
2621,Mcwaters2016,article,"Mcwaters, R. Jesse",,"World Economic Forum, Future of Financial Services Series",1--108,{A Blueprint for Digital Identity The Role of Financial Institutions in Building Digital Identity},,2016,,http://www3.weforum.org/docs/WEF_A_Blueprint_for_Digital_Identity.pdf,,August,,,,,,,0,mendeley
2622,Offwood2012,article,"Offwood, Theresa Maria",,,,{No free lunch and risk measures on Orlicz spaces},,2012,,,,February,,,,,,,0,mendeley
2623,Hackmann2014,article,"Hackmann, Daniel and Kuznetsov, Alexey",,arXiv preprint arXiv:1404.0597,1--24,{Approximating Lévy processes with completely monotone jumps},,2014,,http://arxiv.org/abs/1404.0597,,,,,,,,,0,mendeley
2624,Bauer2014a,article,"Bauer, Daniel and Zanjani, George H.",,,1--42,"{The Marginal Cost of Risk, Risk Measures, and Capital Allocation}",,2014,,,,404,Zanjani,,,,,,0,mendeley
2625,Goodhart2013,book,"Goodhart, C. A. E.",,,,{The optimal financial structure},,2013,,https://niesr.ac.uk/sites/default/files/files/Events/Financial structure fine tuning or radical reform 22022013/Charles Goodhart - The Optimal Financial Structure.pdf,,March,,,,,,,0,mendeley
2626,Brehm2002a,article,"Brehm, Ulrich and Hinow, Peter and Vogt, Hendrik and Voigt, J.",,Mathematische Zeitschrift,,{Moment inequalities and central limit properties of isotropic convex bodies},,2002,,http://link.springer.com/article/10.1007/s002090100359,,,,,,,,,0,mendeley
2627,Harrison2015,article,"Harrison, Glenn W. and Martínez-Correa, Jimmy and Swarthout, J. Todd",10.1016/j.jebo.2015.07.012,Journal of Economic Behavior and Organization,32--55,{Reduction of compound lotteries with objective probabilities: Theory and evidence},119,2015,,,,,,,,,,,0,mendeley
2628,Mosley2022,techreport,"Mosley, Roosevelt and Wenman, Radost",,,,{Methods for Quantifying Discriminatory Effects on Protected Classes in Insurance},,2022,,https://www.casact.org/sites/default/files/2022-03/Research-Paper_Methods-for-Quantifying-Discriminatory-Effects.pdf?utm_source=Landing&utm_medium=Website&utm_campaign=RIP+Series,Casualty Actuarial Society,,,,,,,,0,mendeley
2629,Yavorsky2019,article,"Yavorsky, Jill E. and Keister, Lisa A. and Qian, Yue",10.1177/0003122418820702,American Sociological Review,54----81,{Women in the One Percent: Gender Dynamics in Top Income Positions},84,2019,,,,1,,,,,,,0,mendeley
2630,Jao2011,article,"Jao, David and Feo, Luca De",10.1007/978-3-642-25405-5_2,,19--34,{Towards Quantum-Resistant Cryptosystems from Supersingular Elliptic Curve Isogenies},,2011,,,,,,,,,,,0,mendeley
2631,Sakhnovich2014,article,"Sakhnovich, Lev",,arXiv preprint arXiv:1403.5456,1--26,"{Levy processes with summable Levy measures, long time behavior}",,2014,,http://arxiv.org/abs/1403.5456,,,,,,,,,0,mendeley
2632,Boonen2017,book,"Boonen, Tim J. and Santolino, Miguel",,,,{Forecasting compositional risk allocations},,2017,,,,,,,,,,,0,mendeley
2633,Zhao2009,article,"Zhao, Yufei",,Harvard College Mathematics Review,33--45,{Young Tableaux and the Representations of the Symmetric Group},2,2009,,,,2,,,,,,,0,mendeley
2634,KitaWojciechowska2019,article,"Kita-Wojciechowska, Kinga",,,,{Google Street View image of a house predicts car accident risk of its resident},,2019,,,,,,,,,,,0,mendeley
2635,Cole2006,article,"Cole, Cassandra R. and Mccullough, Kathleen A.",,The Journal of Risk and Insurance,169--192,{A REEXAMINATION OF THE CORPORATE DEMAND FOR REINSURANCE},73,2006,,,,1,,,,,,,0,mendeley
2636,Mildenhall2016b,book,"Mildenhall, Stephen J.",,,2013--2016,"{South East Asia, 2013-2016}",,2016,flickr.com,,,,,South East Asia,,,,,0,mendeley
2637,Ramalho2014,book,"Ramalho, Luciano",10.1017/CBO9781107415324.004,,,{Fluent Python},,2014,,,,,Book,O'Reilly,First,,,,0,mendeley
2638,Bai2015,article,"Bai, Hang and Hou, Kewei and Kung, Howard and Zhang, Lu",10.3386/w21016,Working Paper,,{The CAPM Strikes Back? An Investment Model with Disasters},,2015,,,,614,,,,,,,0,mendeley
2639,Aase2007,misc,"Aase, Knut K.",10.1111/j.1539-6975.2007.00209.x,,239--268,{Equilibrium in marine mutual insurance markets with convex operating costs},74,2007,,,,1,,Journal of Risk and Insurance,,,,,0,mendeley
2640,Coates2005,article,"Coates, John H.",,,14--27,{Congruent Number Problem Congruent number problem},1,2005,,,,1,,,,,,,0,mendeley
2641,Mildenhall2019b,article,"Mildenhall, Stephen J.",,,,{The Paradox of Systemically Unimportant Insurers: Risk Management and the California Earthquake Authority},,2019,,,,,Mildenhall,,,,,,0,mendeley
2642,Kallenberg2001a,book,"Kallenberg, Olav",,,,{Foundations of Modern Probability},,2001,Springer,,,,Book,,Second,,,,0,mendeley
2643,Jewson2022a,article,"Jewson, Stephen",10.1007/s00477-022-02198-y,Stochastic Environmental Research and Risk Assessment,,{Application of uncertain hurricane climate change projections to catastrophe risk models},0123456789,2022,Springer Berlin Heidelberg,https://doi.org/10.1007/s00477-022-02198-y,,,,,,,,,0,mendeley
2644,Daub2017,article,"Daub, J. T. and Moretti, S. and Davydov, I. I. and Excoffier, L. and Robinson-Rechavi, M.",10.1093/molbev/msx083,Molecular Biology and Evolution,1391--1402,{Detection of pathways affected by positive selection in primate lineages ancestral to humans},34,2017,,,,6,,,,,,,0,mendeley
2645,Zhu2012,article,"Zhu, Li and Li, Haijun",,Insurance: Mathematics and Economics,115--121,{Tail distortion risk and its asymptotic analysis},51,2012,Elsevier,,,1,,,,,,,0,mendeley
2646,Nusrat2016,article,"Nusrat, Sabrina and Kobourov, Stephen G.",10.1002/chp.4760030412,ARXIV,,{The state of the art in Cartograms},,2016,,,,,,,,,,,20,mendeley
2647,PetterYYYY,article,"Pettere, Gaida and Kollo, Tõnu",,,1--8,{Future cash flow modelling using copula approach},,,,,,,,,,,,,0,mendeley
2648,KCCiesielski2019,misc,"{KC Ciesielski}, K. C. and Jiménez-Rodríguez, P. and Muñoz-Fernández, G. A. and JB, Seoane-Sepúlveda",10.1017/CBO9781107415324.004,,,{Non-differentiability of the convolution of differentiable real functions},,2019,,,,,,,,,,,0,mendeley
2649,Candes2012,article,"Candès, Emmanuel J. and Fernandez-Granada, Carlos",10.1007/s11390-005-0751-4,arXiv:1203.5871,,{Towards a Mathematical Theory of Super-Resolution},,2012,,,,,,,,,,,0,mendeley
2650,BorYYYY,article,"Born, Patricia H. and Karl, J. Bradley and Nyce, Charles M.",10.1111/jori.12458,Journal of Risk and Insurance,193--212,{Availability of the seat belt defense: Implications for auto liability insurance},91,,,,,1,JRI2024,,,,,,0,mendeley
2651,Beazley2013,book,"Beazley, David and Jones, Brian K.",10.3139/217.1012,,,{Python Cookbook},,2013,,http://www.polymer-process.com/directlink.asp?IPP1012,,,Book,O'Reilly,Third,,,,0,mendeley
2652,Øksendal2014,article,"Øksendal, Bernt Karsten",,,,{Risk minimization in financial markets modeled by Ito Levy processes},,2014,,,,,,,,,,,0,mendeley
2653,Isotupa2019,article,"Isotupa, K. PSapna and Kelly, Mary and Kleffner, Anne E.",10.1080/10920277.2019.1572524,North American Actuarial Journal,395--411,"{Experience-Rating Mechanisms in Auto Insurance: Implications for High-Risk, Low-Risk, and Novice Drivers}",23,2019,Routledge,https://doi.org/10.1080/10920277.2019.1572524,,3,,,,,,,0,mendeley
2654,AonplYYYY,misc,Aon plc,,,,{Stephen Mildenhall_TA Renewal 01 Jul 2015 to 30 June 2017.pdf},,,,,,,Aon,,,,,,0,mendeley
2655,Chapelle2011,article,"Chapelle, Olivier and Chang, Yi",,JMLR: Workshop and Conference Proceedings,1--24,{Yahoo ! Learning to Rank Challenge Overview},14,2011,,,,,,,,,,,0,mendeley
2656,Carr2021a,article,"Carr, Peter P. and Cherubini, Umberto",10.2139/ssrn.3995428,SSRN Electronic Journal,1--39,{Long Term Risk: A Time Change Approach},,2021,,,,,Peters,,,,,,0,mendeley
2657,Blierwong2022,article,"Blier-wong, Christopher and Jul, A. P.",,,1--36,{Generating function method for the efficient computation of expected allocations},,2022,,,,,FFT,,,,,,0,mendeley
2658,Storey2003,article,"Storey, J. D.",,Annals of statistics,2013--2035,{The positive false discovery rate: A Bayesian interpretation and the q-value},31,2003,,http://www.jstor.org/stable/3448445,,6,,,,,,,0,mendeley
2659,Bi2023,article,"Bi, Xupeng and Zhou, Long and Zhang, Jin Jin and Feng, Shaohong and Hu, Mei and Cooper, David N. and Lin, Jiangwei and Li, Jiali and Wu, Dong Dong and Zhang, Guojie",10.1126/sciadv.adc9507,Science Advances,1--12,{Lineage-specific accelerated sequences underlying primate evolution},9,2023,,,,22,,,,,,,0,mendeley
2660,Hirshleifer1956,book,"Hirshleifer, Jack",,,172--184,{On the Economics of Transfer Pricing},29,1956,,,,3,,The Journal of Business,,,,,0,mendeley
2661,Mildenhall2005,article,"Mildenhall, Stephen J.",,Casualty Actuarial Society Forum,1--48,{A Multivariate Bayesian Claim Count Development Model With Closed Form Posterior and Predictive Distributions},Winter,2005,,https://www.casact.org/sites/default/files/database/forum_06wforum_06w455.pdf,,975,Mildenhall,,,,,,0,mendeley
2662,Kim2023,article,"Kim, Kyeonghee and Leverty, J. Tyler and Schmit, Joan T.",10.1111/jori.12441,Journal of Risk and Insurance,1027--1061,{Regulatory capital and asset risk transfer},90,2023,,,,4,JRI2023,,,,,,0,mendeley
2663,AMBest2008a,article,{A. M. Best},,,,{Best's Impairment Rate and Rating Transistion Study – 1977 to 2007},,2008,,,,,,,,,,,0,mendeley
2664,Bass2010,article,"Bass, Richard F.",10.1214/ECP.v15-1535,Electronic Communications in Probability,99--105,{The measurability of hitting times},15,2010,,,,,Stochastic Processes,,,,,,0,mendeley
2665,Bai2015a,article,"Bai, Lian and Fruehwirth, John and Cheng, Xiang and Macosko, Christopher W.",,,1--8,{Interfacial silica nanoparticles stabilize cocontinuous polymer blends},,2015,,http://arxiv.org/abs/1502.00165,,,,,,,,,0,mendeley
2666,Geman2001,article,"Geman, H. and Madan, D. B. and Yor, Marc",,Mathematical Finance,,{Time changes for Lévy processes},,2001,,http://onlinelibrary.wiley.com/doi/10.1111/1467-9965.00108/abstract,,,,,,,,,0,mendeley
2667,Doherty1993,misc,"Doherty, Neil A. and Dionne, Georges",10.1017/CBO9781107415324.004,,187--203,{Insurance with Undiversifiable Risk: Contract Structure and Organizational Form of I},6,1993,,,,,,Journal of Risk and Uncertainty,,,,,0,mendeley
2668,Damgard1990,misc,"Damgård, I. B.",,,416--424,{A Design Principle for Hash Functions},435,1990,,,,,,CRYPTO`89 Proceedings,,,,,0,mendeley
2669,Merton1974,article,"Merton, Robert C.",10.2307/2978814,The Journal of Finance,449,{On the Pricing of Corporate Debt: The Risk Structure of Interest Rates},29,1974,,,,2,Book,,,,,,0,mendeley
2670,Marlow2015,book,"Marlow, Simon",,,,{Parallel and Concurrent Programming in Haskell},,2015,O'Reilly,http://it-ebooks.info/book/2515/%5Cnpapers3://publication/uuid/49DA15C5-8A7D-470D-889A-3C508B49BEA9,,,Book,,,,,,0,mendeley
2671,Lane2005,techreport,"Lane, Morton N. and Kreuser, Jerome",,,,{A Primer on Using Optimization for Underwriting Portfolio Selection},,2005,,,,,,,,,,,0,mendeley
2672,Duchin2018,article,"Duchin, Moon",,,1--6,{Gerrymandering metrics: How to measure? What's the baseline?},,2018,,http://arxiv.org/abs/1801.02064,,,,,,,,,0,mendeley
2673,Canna2021,article,"Canna, Gabriele and Centrone, Francesca and Gianin, Emanuela Rosazza",10.3390/math9020175,Mathematics,1--13,{Capital allocation rules and the no-undercut property},9,2021,,,,2,,,,,,,0,mendeley
2674,Eeckhoudt2007,article,"Eeckhoudt, Louis R. and Rey, Béatrice and Schlesinger, Harris",10.1287/mnsc.1060.0606,Management Science,117--124,{A good sign for multivariate risk taking},53,2007,,,,1,,,,,,,0,mendeley
2675,BarLev2020,article,"Bar-Lev, Shaul K. and Ridder, Ad",,,1--24,{New exponential dispersion models for count data – properties and applications},,2020,,http://arxiv.org/abs/2003.13849,,,EDM-GLM,,,,,,0,mendeley
2676,Carlier2002,article,"Carlier, Guillaume and Dana, Rose-anne",,,,{Insurance Contracts with Deductibles and Upper Limits},,2002,,,,November,Risk Measures,,,,,,0,mendeley
2677,Caramello2015,article,"Caramello, Olivia",,,1--41,{Motivic toposes},,2015,,,,,,,,,,,0,mendeley
2678,BerryStolzle2018,article,"Berry-Stölzle, Thomas R. and Xu, Jianren",10.1111/jori.12152,Journal of Risk and Insurance,159--201,{Enterprise Risk Management and the Cost of Capital},85,2018,,,,1,,,,,,,0,mendeley
